environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
hard,evolution,avg_lifetime,gen,100,1540.22248,224.69378521668014,836.8760000000001,1747.946,1555.477,1619.243,1656.0919999999999,,,
hard,evolution,cells_visited,behaviour,100,753.9314679384137,124.98770454258772,399.7557080332157,856.0522722751382,770.3415243911084,802.8100318303972,821.3791462136527,,,
hard,evolution,predator_touches,behaviour,100,6.661962520631272,1.48952479033835,4.954112227644374,11.394315564847066,5.817726930639724,6.1627113749672535,6.840664589167332,,,
hard,evolution,drained_ticks,behaviour,100,13.504583419245824,4.910108587678085,9.584347143896302,29.328737856838817,11.043427917293036,11.68206578361637,12.953783697298817,,,
hard,evolution,cave_entries,behaviour,100,1.379219244298313,0.5733090726830902,0.113832823591568,2.7658491510502397,1.1498353440267757,1.406287859808609,1.76996613734081,,,
hard,evolution,cave_entries_night,behaviour,100,0.712320457608291,0.29659890917540677,0.0586309258156167,1.427616044217452,0.5938344409274384,0.7135530481602025,0.9182185730861929,,,
hard,evolution,food_prestige,behaviour,100,1.4439327769183183,0.29254258647714093,0.5015686031678773,1.6468321599603817,1.4697757107840173,1.564834661217958,1.590854264683035,,,
hard,evolution,food_low,behaviour,100,2.763091567303877,0.2088026561877523,1.8560204519786825,2.998559317033322,2.6762515325275413,2.845539486468206,2.897338657900451,,,
hard,evolution,energy_at_death,behaviour,100,0.2762294582804742,1.1027632755919832,-2.137906613035582,2.108422371537519,-0.10796131071053162,0.5779221455068018,1.0487103089934844,,,
hard,evolution,frac_death_drained,behaviour,100,0.5182638490607462,0.13002113472075177,0.3843177708976214,0.9182012420551844,0.44469273126820663,0.4735337708088505,0.5184932623062917,,,
hard,evolution,frac_death_starved,behaviour,100,0.46338891390304576,0.12178238407541511,0.0817987579448156,0.587598921231903,0.4647868622099472,0.5079884218186561,0.5296428752675397,,,
hard,learning,avg_fitness,gen,100,7.187158060000001,0.061370721934354264,6.9796580000000015,7.383282,7.154438,7.193741,7.2274495000000005,0.8058906298264602,0.8066911916720377,0.007463391496230558
hard,learning,top20percent_fitness,gen,100,19.98938574,0.19856269313214736,19.381458,20.501206000000003,19.875039,19.985883,20.142601499999998,0.7848864717505376,0.7847336878056016,0.008660988704234361
hard,learning,best_fitness,gen,100,55.97115999999999,1.3742825448688898,52.6192,59.65879999999999,54.96464999999999,55.896,56.743900000000004,0.4354453112033194,0.4348215767634855,0.011404834397252197
hard,learning,avg_learned_weight_diff,gen,100,0.0066761811999999695,0.00033913263894014186,0.00596496,0.00745934,0.0064252400000000005,0.0067116099999999495,0.00690562,,,
hard,learning,avg_network_weight_mag,gen,100,0.6100298599999999,0.0023707257424380773,0.603844,0.616666,0.608528,0.6099479999999999,0.6114655,,,
hard,learning,genome_variance,gen,100,0.046142761599999964,0.0014946718684868245,0.0431629199999999,0.0513572799999999,0.045071795,0.04617379,0.04704532,,,
hard,learning,total_agents,gen,100,1328.3346,22.9800740836249,1269.16,1368.74,1313.635,1328.65,1346.73,,,
