condition,metric,label,baseline_hidden,hidden_size,mean_baseline,mean_arm,std_baseline,std_arm,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_arm,final_frac
pure_rl,cells_visited,Cells explored / organism,64,32,756.2575163012804,753.2710098180665,47.88592344354524,42.091156157733565,-2.986506483213816,-0.39490602325782925,0.7400217511938185,-0.07555555555555556,15,15,0.2
pure_rl,cave_entries,Cave entries / organism,64,32,1.3413352362900488,1.4363174770316978,0.5408794969874878,0.48514542482566453,0.09498224074164896,7.081170923710089,0.5614474146848649,0.1288888888888889,15,15,0.2
pure_rl,food_total,Food eaten / organism,64,32,6.813472882316366,6.638446325582305,0.3961395166969219,0.2670105908146001,-0.17502655673406053,-2.568830312487529,0.08149464839345504,-0.37777777777777777,15,15,0.2
pure_rl,avg_fitness,Mean average fitness,64,128,6.214627333333334,6.129391999999999,0.330547039176709,0.26312523976793506,-0.0852353333333351,-1.3715276678966606,0.3400858902842717,-0.2088888888888889,15,15,0.2
pure_rl,top20percent_fitness,Top-20% fitness,64,128,17.5140191,17.215038533333335,0.735442820446594,0.6172529342668608,-0.29898056666666406,-1.7070928435076567,0.28084201086629834,-0.23555555555555555,15,15,0.2
pure_rl,peak_population,Peak population,64,128,295.0026666666667,273.675,58.297833889624265,44.518381971196284,-21.327666666666687,-7.229652161336401,0.24548500120312422,-0.25333333333333335,15,15,0.2
pure_rl,total_agents,Total agents,64,128,753.7026666666665,701.975,168.9628653764555,132.78643315489728,-51.72766666666644,-6.863139664270762,0.3195059648919748,-0.21777777777777776,15,15,0.2
pure_rl,avg_lifetime,Mean lifetime (ticks),64,128,1606.7291666666667,1582.4861666666663,75.5859055412376,57.17073632015672,-24.243000000000393,-1.508841720368786,0.22902896662469463,-0.26222222222222225,15,15,0.2
pure_rl,lifetime_p90,p90 lifetime (ticks),64,128,2168.1101000000003,2168.943233333333,74.1877391164245,86.2014575448828,0.8331333333326256,0.03842670781952565,0.9009714934164412,-0.03111111111111111,15,15,0.2
pure_rl,survived_frac,Survived to window close,64,128,0.01606206161517007,0.014404896132452239,0.006730714523906901,0.004221398130844802,-0.0016571654827178314,-10.31726513334188,0.3400858902842717,-0.2088888888888889,15,15,0.2
pure_rl,avg_learned_weight_diff,Learned weight diff (MAD),64,128,0.0073397846666666666,0.005723999666666666,0.0006071342565486556,0.000560351063624304,-0.0016157850000000007,-22.014065444426762,5.052703540469847e-06,-0.9822222222222222,15,15,0.2
pure_rl,genome_variance,Genomic variance,64,128,0.023491118666666665,0.02065331166666667,0.008298269603994653,0.009325423904914934,-0.0028378069999999943,-12.080339979835761,0.3400858902842717,-0.2088888888888889,15,15,0.2
pure_rl,cells_visited,Cells explored / organism,64,128,756.2575163012804,719.8630799201859,47.88592344354524,53.67962785937005,-36.394436381094465,-4.812439624943249,0.0744956919139866,-0.38666666666666666,15,15,0.2
pure_rl,cave_entries,Cave entries / organism,64,128,1.3413352362900488,1.01467496843854,0.5408794969874878,0.23842733659858906,-0.3266602678515087,-24.353365140470526,0.09709106759647708,-0.36,15,15,0.2
pure_rl,food_total,Food eaten / organism,64,128,6.813472882316366,6.718293574614799,0.3961395166969219,0.3443453348614076,-0.09517930770156635,-1.3969279594345196,0.3400858902842717,-0.2088888888888889,15,15,0.2
