condition,hidden_size,unit,metric,value
evolution,128,seed1_r5,cells_visited,404.06613481517076
evolution,128,seed1_r5,cave_entries,0.26108358307463214
evolution,128,seed1_r5,food_total,4.859105445671613
evolution,128,seed42_r1,avg_fitness,7.1732295
evolution,128,seed42_r1,top20percent_fitness,20.2552415
evolution,128,seed42_r1,peak_population,490.225
evolution,128,seed42_r1,total_agents,1334.375
evolution,128,seed42_r1,avg_lifetime,1649.2904999999998
evolution,128,seed42_r1,lifetime_p90,2149.1315
evolution,128,seed42_r1,survived_frac,0.028269404806115065
evolution,128,seed42_r1,avg_learned_weight_diff,0.0
evolution,128,seed42_r1,genome_variance,0.04520851000000001
evolution,128,seed42_r1,cells_visited,822.2507967685925
evolution,128,seed42_r1,cave_entries,1.745915227987797
evolution,128,seed42_r1,food_total,7.433979155818849
evolution,128,seed42_r2,avg_fitness,7.0015730000000005
evolution,128,seed42_r2,top20percent_fitness,19.8838825
evolution,128,seed42_r2,peak_population,476.49
evolution,128,seed42_r2,total_agents,1288.95
evolution,128,seed42_r2,avg_lifetime,1618.8234999999997
evolution,128,seed42_r2,lifetime_p90,2147.429
evolution,128,seed42_r2,survived_frac,0.024106205665748726
evolution,128,seed42_r2,avg_learned_weight_diff,0.0
evolution,128,seed42_r2,genome_variance,0.042570035
evolution,128,seed42_r2,cells_visited,817.0582490554457
evolution,128,seed42_r2,cave_entries,1.3082335136753267
evolution,128,seed42_r2,food_total,7.335335896852016
evolution,128,seed42_r3,avg_fitness,6.0845445
evolution,128,seed42_r3,top20percent_fitness,16.944924500000003
evolution,128,seed42_r3,peak_population,245.325
evolution,128,seed42_r3,total_agents,612.91
evolution,128,seed42_r3,avg_lifetime,1377.0804999999998
evolution,128,seed42_r3,lifetime_p90,2039.6695000000002
evolution,128,seed42_r3,survived_frac,0.0029742162394824014
evolution,128,seed42_r3,avg_learned_weight_diff,0.0
evolution,128,seed42_r3,genome_variance,0.02930176
evolution,128,seed42_r3,cells_visited,576.692012625724
evolution,128,seed42_r3,cave_entries,0.8651553392230962
evolution,128,seed42_r3,food_total,6.391064970604391
evolution,128,seed42_r4,avg_fitness,3.6292535
evolution,128,seed42_r4,top20percent_fitness,13.361645000000001
evolution,128,seed42_r4,peak_population,198.135
evolution,128,seed42_r4,total_agents,206.735
evolution,128,seed42_r4,avg_lifetime,859.8915
evolution,128,seed42_r4,lifetime_p90,1460.0340000000003
evolution,128,seed42_r4,survived_frac,0.0
evolution,128,seed42_r4,avg_learned_weight_diff,0.0
evolution,128,seed42_r4,genome_variance,0.028355025
evolution,128,seed42_r4,cells_visited,408.47108267320937
evolution,128,seed42_r4,cave_entries,0.14304700031031856
evolution,128,seed42_r4,food_total,4.342070223792881
evolution,128,seed42_r5,avg_fitness,7.198782000000001
evolution,128,seed42_r5,top20percent_fitness,20.3307085
evolution,128,seed42_r5,peak_population,482.38
evolution,128,seed42_r5,total_agents,1335.675
evolution,128,seed42_r5,avg_lifetime,1643.0505000000003
evolution,128,seed42_r5,lifetime_p90,2132.8105
evolution,128,seed42_r5,survived_frac,0.029339130576201616
evolution,128,seed42_r5,avg_learned_weight_diff,0.0
evolution,128,seed42_r5,genome_variance,0.045605975
evolution,128,seed42_r5,cells_visited,830.9558478314394
evolution,128,seed42_r5,cave_entries,1.3158181720534472
evolution,128,seed42_r5,food_total,7.403137011651222
evolution,128,seed999_r1,avg_fitness,3.8028485
evolution,128,seed999_r1,top20percent_fitness,13.400394
evolution,128,seed999_r1,peak_population,199.825
evolution,128,seed999_r1,total_agents,221.935
evolution,128,seed999_r1,avg_lifetime,844.747
evolution,128,seed999_r1,lifetime_p90,1398.9180000000001
evolution,128,seed999_r1,survived_frac,0.0
evolution,128,seed999_r1,avg_learned_weight_diff,0.0
evolution,128,seed999_r1,genome_variance,0.026719939999999998
evolution,128,seed999_r1,cells_visited,427.11171671855004
evolution,128,seed999_r1,cave_entries,0.49522476149344496
evolution,128,seed999_r1,food_total,4.954212923207051
evolution,128,seed999_r2,avg_fitness,7.0297735
evolution,128,seed999_r2,top20percent_fitness,19.873068
evolution,128,seed999_r2,peak_population,467.745
evolution,128,seed999_r2,total_agents,1293.175
evolution,128,seed999_r2,avg_lifetime,1641.384
evolution,128,seed999_r2,lifetime_p90,2207.556
evolution,128,seed999_r2,survived_frac,0.023998015390556765
evolution,128,seed999_r2,avg_learned_weight_diff,0.0
evolution,128,seed999_r2,genome_variance,0.044356345
evolution,128,seed999_r2,cells_visited,799.8340992358403
evolution,128,seed999_r2,cave_entries,1.6984039667267405
evolution,128,seed999_r2,food_total,7.4385362158696875
evolution,128,seed999_r3,avg_fitness,7.100535
evolution,128,seed999_r3,top20percent_fitness,20.153571000000003
evolution,128,seed999_r3,peak_population,475.31
evolution,128,seed999_r3,total_agents,1314.48
evolution,128,seed999_r3,avg_lifetime,1662.604
evolution,128,seed999_r3,lifetime_p90,2237.095
evolution,128,seed999_r3,survived_frac,0.025040934387591696
evolution,128,seed999_r3,avg_learned_weight_diff,0.0
evolution,128,seed999_r3,genome_variance,0.045225409999999994
evolution,128,seed999_r3,cells_visited,806.8486526105946
evolution,128,seed999_r3,cave_entries,1.9577313262593035
evolution,128,seed999_r3,food_total,7.418428025538583
evolution,128,seed999_r4,avg_fitness,7.0763545
evolution,128,seed999_r4,top20percent_fitness,19.828964
evolution,128,seed999_r4,peak_population,457.885
evolution,128,seed999_r4,total_agents,1261.62
evolution,128,seed999_r4,avg_lifetime,1695.155
evolution,128,seed999_r4,lifetime_p90,2185.7845
evolution,128,seed999_r4,survived_frac,0.024704342841558872
evolution,128,seed999_r4,avg_learned_weight_diff,0.0
evolution,128,seed999_r4,genome_variance,0.044527445
evolution,128,seed999_r4,cells_visited,828.6028140120465
evolution,128,seed999_r4,cave_entries,2.231347030916903
evolution,128,seed999_r4,food_total,7.456778764984144
evolution,128,seed999_r5,avg_fitness,3.6661875
evolution,128,seed999_r5,top20percent_fitness,13.337842
