panel,fraction,seed,rep,run,n_gens,avg_fitness
0.10,0.2,1,9,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r9,1000,3.523046
0.10,0.2,1,10,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r10,1000,7.201324
0.10,0.2,42,1,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r1,1000,5.406106000000001
0.10,0.2,42,2,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r2,1000,4.522390000000001
0.10,0.2,42,3,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r3,1000,3.5806799999999996
0.10,0.2,42,4,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r4,1000,3.8711059999999997
0.10,0.2,42,5,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r5,1000,3.6327000000000003
0.10,0.2,42,6,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r6,1000,7.200106
0.10,0.2,42,7,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r7,1000,6.850122000000002
0.10,0.2,42,8,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r8,1000,7.188436
0.10,0.2,42,9,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r9,1000,7.159476
0.10,0.2,42,10,roam60d5_10r_evo_cull0.2_rec0.10_seed42_r10,1000,3.5999039999999995
0.10,0.2,999,1,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r1,1000,4.352982
0.10,0.2,999,2,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r2,1000,6.390822000000001
0.10,0.2,999,3,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r3,1000,7.040218000000002
0.10,0.2,999,4,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r4,1000,4.53156
0.10,0.2,999,5,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r5,1000,6.153058
0.10,0.2,999,6,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r6,1000,6.103352000000001
0.10,0.2,999,7,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r7,1000,3.656596000000001
0.10,0.2,999,8,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r8,1000,3.5610119999999994
0.10,0.2,999,9,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r9,1000,3.5893040000000003
0.10,0.2,999,10,roam60d5_10r_evo_cull0.2_rec0.10_seed999_r10,1000,3.783798
0.10,0.3,1,1,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r1,1000,3.448758
0.10,0.3,1,2,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r2,1000,3.8541619999999988
0.10,0.3,1,3,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r3,1000,7.04913
0.10,0.3,1,4,roam60d5_10r_evo_cull0.3_rec0.10_seed1_r4,1000,3.5282599999999995
