timestamp_ms,source,message,data
2010603,GA,Gen 96 -> starting Map 3/5,
2014989,GA,Gen 96 -> starting Map 4/5,
2016277,GA,Gen 96 -> starting Map 5/5,
2016967,GA,Gen 95 | 396 agents | tournament k=2 → 100 offspring,
2016991,GA,Gen 97 started | 100 founders | RL=true,
2029754,GA,Gen 97 -> starting Map 2/5,
2039515,GA,Gen 97 -> starting Map 3/5,
2044906,GA,Gen 97 -> starting Map 4/5,
2047463,GA,Gen 97 -> starting Map 5/5,
2048847,GA,Gen 96 | 535 agents | tournament k=2 → 100 offspring,
2048870,GA,Gen 98 started | 100 founders | RL=true,
2060598,GA,Gen 98 -> starting Map 2/5,
2065558,GA,Gen 98 -> starting Map 3/5,
2068011,GA,Gen 98 -> starting Map 4/5,
2070069,GA,Gen 98 -> starting Map 5/5,
2071489,GA,Gen 97 | 379 agents | tournament k=2 → 100 offspring,
2071515,GA,Gen 99 started | 100 founders | RL=true,
2081114,GA,Gen 99 -> starting Map 2/5,
2089037,GA,Gen 99 -> starting Map 3/5,
2092840,GA,Gen 99 -> starting Map 4/5,
2094227,GA,Gen 99 -> starting Map 5/5,
2095480,GA,Gen 98 | 383 agents | tournament k=2 → 100 offspring,
2095505,GA,Gen 100 started | 100 founders | RL=true,
2109036,GA,Gen 100 -> starting Map 2/5,
2120462,GA,Gen 100 -> starting Map 3/5,
2124545,GA,Gen 100 -> starting Map 4/5,
2126567,GA,Gen 100 -> starting Map 5/5,
2261050,GA,Gen 104 | 374 agents | tournament k=2 → 100 offspring,
2261079,GA,Gen 106 started | 100 founders | RL=true,
2275121,GA,Gen 106 -> starting Map 2/5,
2290250,GA,Gen 106 -> starting Map 3/5,
2298188,GA,Gen 106 -> starting Map 4/5,
2301109,GA,Gen 106 -> starting Map 5/5,
2302472,GA,Gen 105 | 682 agents | tournament k=2 → 100 offspring,
2302497,GA,Gen 107 started | 100 founders | RL=true,
2314689,GA,Gen 107 -> starting Map 2/5,
2319209,GA,Gen 107 -> starting Map 3/5,
2320599,GA,Gen 107 -> starting Map 4/5,
2321981,GA,Gen 107 -> starting Map 5/5,
2323051,GA,Gen 106 | 319 agents | tournament k=2 → 100 offspring,
2323076,GA,Gen 108 started | 100 founders | RL=true,
2332664,GA,Gen 108 -> starting Map 2/5,
2338958,GA,Gen 108 -> starting Map 3/5,
2341680,GA,Gen 108 -> starting Map 4/5,
2343084,GA,Gen 108 -> starting Map 5/5,
2344478,GA,Gen 107 | 345 agents | tournament k=2 → 100 offspring,
2344502,GA,Gen 109 started | 100 founders | RL=true,
2359815,GA,Gen 109 -> starting Map 2/5,
2375485,GA,Gen 109 -> starting Map 3/5,
2384653,GA,Gen 109 -> starting Map 4/5,
2388560,GA,Gen 109 -> starting Map 5/5,
2389858,GA,Gen 108 | 798 agents | tournament k=2 → 100 offspring,
2389882,GA,Gen 110 started | 100 founders | RL=true,
2401676,GA,Gen 110 -> starting Map 2/5,
2406249,GA,Gen 110 -> starting Map 3/5,
2407978,GA,Gen 110 -> starting Map 4/5,
2409380,GA,Gen 110 -> starting Map 5/5,
2410551,GA,Gen 109 | 340 agents | tournament k=2 → 100 offspring,
2410575,GA,Gen 111 started | 100 founders | RL=true,
2420085,GA,Gen 111 -> starting Map 2/5,
2428185,GA,Gen 111 -> starting Map 3/5,
2432429,GA,Gen 111 -> starting Map 4/5,
2434075,GA,Gen 111 -> starting Map 5/5,
2435476,GA,Gen 110 | 421 agents | tournament k=2 → 100 offspring,
2435500,GA,Gen 112 started | 100 founders | RL=true,
2449549,GA,Gen 112 -> starting Map 2/5,
2463299,GA,Gen 112 -> starting Map 3/5,
2469077,GA,Gen 112 -> starting Map 4/5,
2471670,GA,Gen 112 -> starting Map 5/5,
2472199,GA,Gen 111 | 622 agents | tournament k=2 → 100 offspring,
2472223,GA,Gen 113 started | 100 founders | RL=true,
2484967,GA,Gen 113 -> starting Map 2/5,
2490464,GA,Gen 113 -> starting Map 3/5,
2493096,GA,Gen 113 -> starting Map 4/5,
2495207,GA,Gen 113 -> starting Map 5/5,
2496711,GA,Gen 112 | 417 agents | tournament k=2 → 100 offspring,
2496736,GA,Gen 114 started | 100 founders | RL=true,
2506350,GA,Gen 114 -> starting Map 2/5,
2514625,GA,Gen 114 -> starting Map 3/5,
2519870,GA,Gen 114 -> starting Map 4/5,
2522546,GA,Gen 114 -> starting Map 5/5,
2523955,GA,Gen 113 | 445 agents | tournament k=2 → 100 offspring,
2523981,GA,Gen 115 started | 100 founders | RL=true,
2539208,GA,Gen 115 -> starting Map 2/5,
2554630,GA,Gen 115 -> starting Map 3/5,
2562765,GA,Gen 115 -> starting Map 4/5,
2566026,GA,Gen 115 -> starting Map 5/5,
2705543,GA,Gen 119 | 424 agents | tournament k=2 → 100 offspring,
2705585,GA,Gen 121 started | 100 founders | RL=true,
2720971,GA,Gen 121 -> starting Map 2/5,
2736360,GA,Gen 121 -> starting Map 3/5,
2743589,GA,Gen 121 -> starting Map 4/5,
2746482,GA,Gen 121 -> starting Map 5/5,
2747691,GA,Gen 120 | 727 agents | tournament k=2 → 100 offspring,
2747713,GA,Gen 122 started | 100 founders | RL=true,
2759897,GA,Gen 122 -> starting Map 2/5,
2764341,GA,Gen 122 -> starting Map 3/5,
2766408,GA,Gen 122 -> starting Map 4/5,
2769291,GA,Gen 122 -> starting Map 5/5,
2770912,GA,Gen 121 | 395 agents | tournament k=2 → 100 offspring,
2770935,GA,Gen 123 started | 100 founders | RL=true,
2780387,GA,Gen 123 -> starting Map 2/5,
2788041,GA,Gen 123 -> starting Map 3/5,
2792634,GA,Gen 123 -> starting Map 4/5,
2794063,GA,Gen 123 -> starting Map 5/5,
2794967,GA,Gen 122 | 386 agents | tournament k=2 → 100 offspring,
2794994,GA,Gen 124 started | 100 founders | RL=true,
2809296,GA,Gen 124 -> starting Map 2/5,
2823810,GA,Gen 124 -> starting Map 3/5,
2832529,GA,Gen 124 -> starting Map 4/5,
2836275,GA,Gen 124 -> starting Map 5/5,
2837392,GA,Gen 123 | 726 agents | tournament k=2 → 100 offspring,
