id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p9_1_r4_off,0,4,2000,5.484200,4.315260,100,2000.00,4.5000,0.0000,0.0000,100,0,0,0
p9_2_r4_off,0,4,2000,5.545100,4.532385,100,2000.00,4.6900,0.0000,0.0000,100,0,0,0
p9_3_r4_off,0,4,2000,5.811100,4.456989,100,1999.80,5.2900,0.0000,0.0000,98,2,0,0
p9_4_r4_off,0,4,2000,5.825300,4.512241,100,2000.00,6.2600,0.0000,0.0000,100,0,0,0
p9_5_r4_off,0,4,2000,6.015500,4.572393,100,2000.00,5.6100,0.0000,0.0000,100,0,0,0
p9_6_r4_off,0,4,2000,5.841200,5.157212,100,1999.60,5.1400,0.0000,0.0000,98,2,0,0
p9_7_r4_off,0,4,2000,5.900800,4.700948,100,1999.80,4.8100,0.0000,0.0000,99,1,0,0
p9_8_r4_off,0,4,2000,6.165400,4.867877,100,1998.20,5.5900,0.0000,0.0000,95,5,0,0
p9_9_r4_off,0,4,2000,5.950700,5.493394,100,2000.00,5.7700,0.0000,0.0000,100,0,0,0
p9_10_r4_off,0,4,2000,6.201500,5.121865,100,1999.60,4.9100,0.0000,0.0000,98,2,0,0
p9_11_r4_off,0,4,2000,6.140400,5.976566,100,1999.70,5.7300,0.0000,0.0000,96,4,0,0
