id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p23_0_r2_on,1,2,2000,6.849300,6.829134,100,686.23,0.0300,33.8000,12.9000,0,4,96,0
p23_1_r2_on,1,2,2000,6.094700,5.948941,100,1277.97,0.0000,20.2000,9.0400,28,13,59,0
p23_2_r2_on,1,2,2000,6.714600,7.637499,100,799.03,0.0700,32.1600,11.4500,0,6,94,0
p23_3_r2_on,1,2,2000,6.589700,6.370337,100,923.49,0.0300,28.6600,10.0100,6,6,88,0
p23_4_r2_on,1,2,2000,6.624800,6.949017,100,956.36,0.0400,28.7800,11.8000,5,12,83,0
p23_5_r2_on,1,2,2000,6.769400,7.309767,100,1058.55,0.0400,25.5100,9.3200,6,10,84,0
p23_6_r2_on,1,2,2000,7.414300,8.256256,100,851.43,0.0500,31.1700,11.8400,0,11,89,0
p23_7_r2_on,1,2,2000,7.689700,7.369217,100,845.89,0.0800,30.3200,10.6700,0,9,91,0
p23_8_r2_on,1,2,2000,7.389300,6.950327,100,750.87,0.0800,33.1400,11.4500,1,3,96,0
p23_9_r2_on,1,2,2000,7.569700,7.319945,100,833.66,0.0400,30.5600,11.8900,0,6,94,0
p23_10_r2_on,1,2,2000,7.444400,7.503897,100,1133.04,0.0700,23.4700,9.4500,20,12,68,0
p23_11_r2_on,1,2,2000,7.609200,7.690942,100,742.76,0.0800,33.0400,12.5900,1,8,91,0
p23_12_r2_on,1,2,2000,7.644800,7.058364,100,999.74,0.0900,27.2400,10.4300,2,9,89,0
p23_13_r2_on,1,2,2000,7.939700,6.987369,100,827.82,0.0500,33.0400,13.9500,0,9,91,0
p23_14_r2_on,1,2,2000,7.949800,7.616604,100,756.95,0.0600,33.4800,13.4700,0,4,96,0
p23_15_r2_on,1,2,2000,7.844600,7.598152,100,819.56,0.1400,31.9000,11.7500,2,10,88,0
p23_16_r2_on,1,2,2000,7.824400,7.289425,100,683.95,0.0700,33.3200,12.6500,0,5,95,0
p23_17_r2_on,1,2,2000,7.904500,7.171586,100,789.59,0.0700,31.2300,10.6600,0,7,93,0
